Time,X Position,Y Position,X Error,Y Error
1744157808.6569755,400,326,80,86
1744157808.6933594,400,325,80,85
1744157808.7249281,400,326,80,86
1744157808.7578661,400,327,80,87
1744157808.7922304,400,326,80,86
1744157808.8250802,400,326,80,86
1744157808.8564181,400,327,80,87
1744157808.8930347,400,325,80,85
1744157808.9250653,400,326,80,86
1744157808.9570951,399,325,79,85
1744157808.9922926,399,324,79,84
1744157809.0250056,400,324,80,84
1744157809.0563717,400,326,80,86
1744157809.09448,400,325,80,85
1744157809.1246343,400,325,80,85
1744157809.1574926,400,325,80,85
1744157809.192348,400,326,80,86
1744157809.2250476,400,325,80,85
1744157809.2570815,400,325,80,85
1744157809.2931588,400,325,80,85
1744157809.3243356,399,325,79,85
1744157809.3570366,400,325,80,85
1744157809.3923619,399,324,79,84
1744157809.4249902,399,323,79,83
1744157809.4563775,399,324,79,84
1744157809.4930234,399,324,79,84
1744157809.5242941,399,325,79,85
1744157809.5572453,400,325,80,85
1744157809.5932715,400,325,80,85
1744157809.625775,399,325,79,85
1744157809.6570823,399,325,79,85
1744157809.6930451,399,325,79,85
1744157809.7243514,398,325,78,85
1744157809.7571588,398,323,78,83
1744157809.7924182,398,323,78,83
1744157809.825068,399,323,79,83
1744157809.8564727,399,324,79,84
1744157809.8931146,400,325,80,85
1744157809.9243782,399,325,79,85
1744157809.9571006,399,324,79,84
1744157809.992422,399,325,79,85
1744157810.025453,399,325,79,85
1744157810.0570502,399,325,79,85
1744157810.0935483,399,325,79,85
1744157810.1251328,399,325,79,85
1744157810.1578174,399,324,79,84
1744157810.192446,399,324,79,84
1744157810.2250512,398,324,78,84
1744157810.2564957,398,324,78,84
1744157810.2931414,397,322,77,82
1744157810.3252432,398,323,78,83
1744157810.357203,399,325,79,85
1744157810.392503,399,324,79,84
1744157810.4255548,398,324,78,84
1744157810.4571524,399,324,79,84
1744157810.4936438,398,324,78,84
1744157810.5262187,398,324,78,84
1744157810.558297,399,324,79,84
1744157810.5924902,399,324,79,84
1744157810.625564,399,324,79,84
1744157810.6568778,398,324,78,84
1744157810.6932445,398,324,78,84
1744157810.7245111,398,324,78,84
1744157810.757359,399,324,79,84
1744157810.7925084,398,324,78,84
1744157810.825213,399,324,79,84
1744157810.8565729,398,324,78,84
1744157810.8939497,399,324,79,84
1744157810.924878,398,323,78,83
